"""consumers keep cautious stance""",709723193125175300,$COST
"""close ctrp 4616 4355 entry 66""",719529094652698600,$CTRP
"""every reason bullish""",39048670,$INTC
"""panw need anoth 1 time high""",37048093,$PANW
"""long setup""",6207860,$JRCC
"""solid long term investmenpassivealso added sbux today income""",719911771625140200,$SBUX
"""recall""",719571433307955200,$TSLA
"""marriott wins new starwood deal raising cash portion bid""",711874651043926000,$MAR
"""time embrace dividend growth""",719559500852662300,$ABBV
"""bullshit applestores empty chinams must preparing liquidate aapl""",709737853639663600,$MS
"""5star analyst robert derrington wunderlich reiterated buy""",30084443,$BJRI
"""excitedbig valuehoping""",711948847971307500,$AAPL
"""oil break outadding chevron""",710211237058093000,$MCD
"""unusual call activity""",709777793798656000,$GWPH
"""chinas tourist bonanza isnt going anywhere""",719917003033681900,$QUNR
"""consumers keep cautious stance""",709723193125175300,$COST
"""close ctrp 4616 4355 entry 66""",719529094652698600,$CTRP
"""every reason bullish""",39048670,$INTC
"""panw need anoth 1 time high""",37048093,$PANW
"""long setup""",6207860,$JRCC
"""solid long term investmenpassivealso added sbux today income""",719911771625140200,$SBUX
"""recall""",719571433307955200,$TSLA
"""marriott wins new starwood deal raising cash portion bid""",711874651043926000,$MAR
"""time embrace dividend growth""",719559500852662300,$ABBV
"""bullshit applestores empty chinams must preparing liquidate aapl""",709737853639663600,$MS
"""5star analyst robert derrington wunderlich reiterated buy""",30084443,$BJRI
"""excitedbig valuehoping""",711948847971307500,$AAPL
"""oil break outadding chevron""",710211237058093000,$MCD
"""unusual call activity""",709777793798656000,$GWPH
"""chinas tourist bonanza isnt going anywhere""",719917003033681900,$QUNR
"""consumers keep cautious stance""",709723193125175300,$COST
"""close ctrp 4616 4355 entry 66""",719529094652698600,$CTRP
"""every reason bullish""",39048670,$INTC
"""panw need anoth 1 time high""",37048093,$PANW
"""long setup""",6207860,$JRCC
"""solid long term investmenpassivealso added sbux today income""",719911771625140200,$SBUX
"""recall""",719571433307955200,$TSLA
"""marriott wins new starwood deal raising cash portion bid""",711874651043926000,$MAR
"""time embrace dividend growth""",719559500852662300,$ABBV
"""bullshit applestores empty chinams must preparing liquidate aapl""",709737853639663600,$MS
"""5star analyst robert derrington wunderlich reiterated buy""",30084443,$BJRI
"""excitedbig valuehoping""",711948847971307500,$AAPL
"""oil break outadding chevron""",710211237058093000,$MCD
"""unusual call activity""",709777793798656000,$GWPH
"""chinas tourist bonanza isnt going anywhere""",719917003033681900,$QUNR
"""015""",39047884,$ESI
"""not guaranteed""",719590251891658800,$TSLA
"""potential continuation uptrend""",32349177,$HYG
"""longed""",5933426,$AMZN
"""absolute garbage still upstores totally emptystock mispriced""",17892972,$MW
"""buy dip""",22409313,$MSTX
"""weakest todays dt watchlist""",719895099300139000,$TSLA
"""see reasons cautious""",719533378698100700,$FB
"""breaking""",11685342,$DARA
"""bbry smack down looks legitimategs msare playing ignorant""",38563467,$GS
"""swing tradelooks like want go up""",8472562,$BAC
"""add short""",5866181,$SPY
"""nice""",26553639,$DVAX
"""verified 9895 loss endp trades""",719571926285312000,$ENDP
"""loving volume""",5453104,$VMW
"""hodbuyers stepped""",708381004180795400,$FB
"""clearing back above 50 daynext buy add area clears upper trend line volume""",5960481,$BIDU
"""eems respecting channel""",709780511200317400,$COST
"""sector stocks leading today""",708355634857529300,$CPGX
"""overbought""",709741154393133000,$INTC
"""look fb live video rollouttough space""",719515248571473900,$FB
"""kodak could pick up christmas write taxes""",29666346,$UNXL
"""theyll whip back down""",15981627,$AAPL
"""plus irish based getting rid generic biz""",719573068864032800,$ENDP
"""3037""",5379023,$VPRT
"""top netpayoutyields""",710965451677827100,$AMP
"""got sell signal 7114 still force target below 150""",24697241,$AMRN
"""buynot end world""",5853626,$GOOG
"""future bright""",34103560,$PLUG
"""bulls careful""",29364798,$BBRY
"""577 added 576 pb""",15349675,$KGC
"""may ripe takeover targe""",710475186353475600,$TWTR
"""top 5 stock picks""",719732320404709400,$OGS
"""tomorrow morning likely open north""",35980487,$AAPL
"""unusual call activity""",710863854381563900,$HYG
"""iraq boosts oil production record""",719493174167625700,$USO
"""failed breakouts failed setupslimping crutches next week""",7867073,$AAPL
"""takeover interest""",8562689,$RA
